header,content,url
Gray code,,https://en.wikipedia.org/wiki/Gray_code
Spaghetti sort,"Spaghetti sort is a linear-time, analog algorithm for sorting a sequence of items, introduced by Alexander Dewdney in his Scientific American column. This algorithm sorts a sequence of items requiring O(n) stack space in a stable manner. It requires a parallel processor.",https://en.wikipedia.org/wiki/Spaghetti_sort
nth root algorithm,"The principal nth root An of a positive real number A, is the positive real solution of the equation xn=A.",https://en.wikipedia.org/wiki/Nth_root_algorithm
Probability matching,"Probability matching is a decision strategy in which predictions of class membership are proportional to the class base rates.  Thus, if in the training set positive examples are observed 60% of the time, and negative examples are observed 40% of the time, then the observer using a probability-matching strategy will predict (for unlabeled examples) a class label of ""positive"" on 60% of instances, and a class label of ""negative"" on 40% of instances.  ",https://en.wikipedia.org/wiki/Probability_matching
Cuthill–McKee algorithm,"In numerical linear algebra, the Cuthill–McKee algorithm (CM), named for Elizabeth Cuthill  and James McKee, is an algorithm to permute a sparse matrix that has a symmetric sparsity pattern into a   band matrix form with a small bandwidth. The reverse Cuthill–McKee algorithm  (RCM)  due to Alan George  is the same algorithm but with the resulting index numbers reversed. In practice this generally results in less fill-in  than the CM ordering when Gaussian elimination is applied.",https://en.wikipedia.org/wiki/Cuthill%E2%80%93McKee_algorithm
Cipolla's algorithm,"In computational number theory, Cipolla's algorithm is a technique for solving a congruence of the form",https://en.wikipedia.org/wiki/Cipolla%27s_algorithm
Stochastic gradient descent,"Stochastic gradient descent (often abbreviated SGD) is an iterative method for optimizing an objective function with suitable smoothness properties (e.g. differentiable or subdifferentiable). It can be regarded as a stochastic approximation of gradient descent optimization, since it replaces the actual gradient (calculated from the entire data set) by an estimate thereof (calculated from a randomly selected subset of the data). Especially in big data applications this reduces the computational burden, achieving faster iterations in trade for a slightly lower convergence rate.",https://en.wikipedia.org/wiki/Stochastic_gradient_descent
Rounding,,https://en.wikipedia.org/wiki/Rounding_functions
Quickselect,"In computer science, quickselect is a selection algorithm to find the kth smallest element in an unordered list. It is related to the quicksort sorting algorithm. Like quicksort, it was developed by Tony Hoare, and thus is also known as Hoare's selection algorithm. Like quicksort, it is efficient in practice and has good average-case performance, but has poor worst-case performance. Quickselect and its variants are the selection algorithms most often used in efficient real-world implementations. ",https://en.wikipedia.org/wiki/Quickselect
Quickprop,"Quickprop is an iterative method for determining the minimum of the loss function of an artificial neural network, following an algorithm inspired by the Newton's method. Sometimes, the algorithm is classified to the group  of the second order learning methods. It follows a quadratic approximation of the previous gradient step and the current gradient, which is expected to be close to the minimum of the loss function, under the assumption that the loss function is locally approximately square, trying to describe it by means of an upwardly open parabola. The minimum is sought in the vertex of the parabola. The procedure requires only local information of the artificial neuron to which it is applied.",https://en.wikipedia.org/wiki/Quickprop
Automatic summarization,"Automatic summarization is the process of shortening a set of data computationally, to create a subset (a summary) that represents the most important or relevant information within the original content. ",https://en.wikipedia.org/wiki/Automatic_summarization
Quasi-triangulation,"A quasi-triangulation is a subdivision of a geometric object into simplices, where vertices are not points but arbitrary sloped line segments. This division is not a triangulation in the geometric sense.  It is a topological triangulation, however. A quasi-triangulation may have some of the characteristics of a Delaunay triangulation.",https://en.wikipedia.org/wiki/Quasitriangulation
Wolfram Language,"The Wolfram Language is a general multi-paradigm computational language developed by Wolfram Research. It emphasizes symbolic computation, functional programming, and rule-based programming and can employ arbitrary structures and data.",https://en.wikipedia.org/wiki/Wolfram_Language
Salvatore J. Stolfo,"Salvatore J. Stolfo is a tenured professor of computer science at Columbia University in New York and a leading expert in computer security. He is known for his research in machine learning applied to computer security, intrusion detection systems, anomaly detection algorithms and systems, fraud detection, and parallel computing.",https://en.wikipedia.org/wiki/Salvatore_J._Stolfo
Sense Networks,"Sense Networks is a New York City based company with a focus on applications that analyze big data from mobile phones, carrier networks, and taxicabs, particularly by using machine learning technology to make sense of large amounts of location (latitude/longitude) data.",https://en.wikipedia.org/wiki/Sense_Networks
Independent component analysis,"In signal processing, independent component analysis (ICA) is a computational method for separating a multivariate signal into additive subcomponents. This is done by assuming that the subcomponents are non-Gaussian signals and that they are statistically independent from each other. ICA is a special case of blind source separation. A common example application is the ""cocktail party problem"" of listening in on one person's speech in a noisy room.",https://en.wikipedia.org/wiki/Independent_component_analysis
Boltzmann machine,"A Boltzmann machine (also called stochastic Hopfield network with hidden units) is a type of stochastic recurrent neural network. It is a Markov random field It was translated from statistical physics for use in cognitive science. The Boltzmann machine is based on stochastic spin-glass model with an external field, i.e., a Sherrington–Kirkpatrick model that is a stochastic Ising Model and applied to machine learning.",https://en.wikipedia.org/wiki/Boltzmann_machine
Massive Online Analysis,"Massive Online Analysis (MOA) is a free open-source software project specific for data stream mining with concept drift. It is written in Java and developed at the University of Waikato, New Zealand.",https://en.wikipedia.org/wiki/Massive_Online_Analysis
Customer relationship management,,https://en.wikipedia.org/wiki/Customer_relationship_management
Teaching dimension,"In computational learning theory, the teaching dimension of a concept class C is defined to be maxc∈C{wC(c)}, where wC(c) is the minimum size of a witness set for c in C.",https://en.wikipedia.org/wiki/Teaching_dimension
Selmer Bringsjord,"Prof. Selmer Bringsjord (born November 24, 1958) is the chair of the Department of Cognitive Science at Rensselaer Polytechnic Institute and a professor of Computer Science and Cognitive Science. He also holds an appointment in the Lally School of Management & Technology and teaches artificial Intelligence (AI), formal logic, human and machine reasoning, and philosophy of AI.",https://en.wikipedia.org/wiki/Selmer_Bringsjord
Sublinear function,"In linear algebra, a sublinear function (or functional, as is more often used in functional analysis) is a function f:V→F an ordered field (e.g. the real numbers R), which satisfies",https://en.wikipedia.org/wiki/Sublinear
Monte Carlo method,"Monte Carlo methods, or Monte Carlo experiments, are a broad class of computational algorithms that rely on repeated random sampling to obtain numerical results. The underlying concept is to use randomness to solve problems that might be deterministic in principle. They are often used in physical and mathematical problems and are most useful when it is difficult or impossible to use other approaches. Monte Carlo methods are mainly used in three problem classes: optimization, numerical integration, and generating draws from a probability distribution.",https://en.wikipedia.org/wiki/Monte_Carlo_method
Forward algorithm,"The forward algorithm, in the context of a hidden Markov model (HMM), is used to calculate a 'belief state': the probability of a state at a certain time, given the history of evidence.  The process is also known as filtering. The forward algorithm is closely related to, but distinct from, the Viterbi algorithm.",https://en.wikipedia.org/wiki/Forward_algorithm
Feature hashing,"In machine learning, feature hashing, also known as the hashing trick (by analogy to the kernel trick), is a fast and space-efficient way of vectorizing features, i.e. turning arbitrary features into indices in a vector or matrix. It works by applying a hash function to the features and using their hash values as indices directly, rather than looking the indices up in an associative array. This trick is often attributed to Weinberger et al., but there exists a much earlier description of this method published by John Moody in 1989.",https://en.wikipedia.org/wiki/Feature_hashing
Range encoding,"Range encoding is an entropy coding method defined by G. Nigel N. Martin in a 1979 paper, which effectively rediscovered the FIFO arithmetic code first introduced by Richard Clark Pasco in 1976. Given a stream of symbols and their probabilities, a range coder produces a space-efficient stream of bits to represent these symbols and, given the stream and the probabilities, a range decoder reverses the process.",https://en.wikipedia.org/wiki/Range_encoding
Dijkstra's algorithm,,https://en.wikipedia.org/wiki/Dijkstra%27s_algorithm
Gauss–Legendre algorithm,"The Gauss–Legendre algorithm is an algorithm to compute the digits of π. It is notable for being rapidly convergent, with only 25 iterations producing 45 million correct digits of π. However, the drawback is that it is computer memory-intensive and therefore sometimes Machin-like formulas are used instead.",https://en.wikipedia.org/wiki/Gauss%E2%80%93Legendre_algorithm
Cross-validation (statistics),"Cross-validation, sometimes called rotation estimation or out-of-sample testing, is any of various similar model validation techniques for assessing how the results of a statistical analysis will generalize to an independent data set. It is mainly used in settings where the goal is prediction, and one wants to estimate how accurately a predictive model will perform in practice.  In a prediction problem, a model is usually given a dataset of known data on which training is run (training dataset), and a dataset of unknown data (or first seen data) against which the model is tested (called the validation dataset or testing set). The goal of cross-validation is to test the model's ability to predict new data that was not used in estimating it, in order to flag problems like overfitting or selection bias and to give an insight on how the model will generalize to an independent dataset (i.e., an unknown dataset, for instance from a real problem).",https://en.wikipedia.org/wiki/Cross-validation_(statistics)
Bogosort,"In computer science, bogosort (also known as permutation sort, stupid sort, slowsort, shotgun sort, or monkey sort) is a highly inefficient sorting algorithm based on the generate and test paradigm. The function successively generates permutations of its input until it finds one that is sorted. It is not useful for sorting, but may be used for educational purposes, to contrast it with more efficient algorithms.",https://en.wikipedia.org/wiki/Bogosort
Distributed R,"Distributed R is an open source, high-performance platform for the R language. It splits tasks between multiple processing nodes to reduce execution time and analyze large data sets. Distributed R enhances R by adding distributed data structures, parallelism primitives to run functions on distributed data, a task scheduler, and multiple data loaders. It is mostly used to implement distributed versions of machine learning tasks. Distributed R is written in C++ and R, and retains the familiar look and feel of R. As of February 2015, Hewlett-Packard (HP) provides enterprise support for Distributed R with proprietary additions such as a fast data loader from the Vertica database.",https://en.wikipedia.org/wiki/Distributed_R
Distance transform,"A distance transform, also known as distance map or distance field, is a derived representation of a digital image. The choice of the term depends on the point of view on the object in question: whether the initial image is transformed into another representation, or it is simply endowed with an additional map or field.",https://en.wikipedia.org/wiki/Euclidean_distance_map
Incremental encoding,"Incremental encoding, also known as front compression, back compression, or front coding, is a type of delta encoding compression algorithm whereby common prefixes or suffixes and their lengths are recorded so that they need not be duplicated. This algorithm is particularly well-suited for compressing sorted data, e.g., a list of words from a dictionary.",https://en.wikipedia.org/wiki/Incremental_encoding
Reverse-delete algorithm,"The reverse-delete algorithm is an algorithm in graph theory used to obtain a minimum spanning tree from a given connected, edge-weighted graph.  It first appeared in Kruskal (1956), but it should not be confused with Kruskal's algorithm which appears in the same paper. If the graph is disconnected, this algorithm will find a minimum spanning tree for each disconnected part of the graph.  The set of these minimum spanning trees is called a minimum spanning forest, which contains every vertex in the graph.",https://en.wikipedia.org/wiki/Reverse-delete_algorithm
Dartmouth workshop,The Dartmouth Summer Research Project on Artificial Intelligence was a 1956 summer workshop widely considered to be the founding event of artificial intelligence as a field.,https://en.wikipedia.org/wiki/Dartmouth_workshop
Clique (graph theory),"In the mathematical area of graph theory, a clique (/ˈkliːk/ or /ˈklɪk/) is a subset of vertices of an undirected graph such that  every two distinct vertices in the clique are adjacent; that is, its induced subgraph is complete. Cliques are one of the basic concepts of graph theory and are used in many other mathematical problems and constructions on graphs. Cliques have also been studied in computer science: the task of finding whether there is a clique of a given size in a graph (the clique problem) is NP-complete, but despite this hardness result, many algorithms for finding cliques have been studied.",https://en.wikipedia.org/wiki/Maximal_clique
Byzantine fault,"A Byzantine fault (also interactive consistency, source congruency, error avalanche, Byzantine agreement problem, Byzantine generals problem, and Byzantine failure) is a condition of a computer system, particularly distributed computing systems, where components may fail and there is imperfect information on whether a component has failed. The term takes its name from an allegory, the ""Byzantine Generals Problem"", developed to describe a situation in which, in order to avoid catastrophic failure of the system, the system's actors must agree on a concerted strategy, but some of these actors are unreliable.",https://en.wikipedia.org/wiki/Byzantine_fault_tolerance
Shogun (toolbox),"Shogun is a free, open-source machine learning software library  written in C++. It offers numerous algorithms and data structures for machine learning problems. It offers interfaces for Octave, Python, R, Java, Lua, Ruby and C# using SWIG.",https://en.wikipedia.org/wiki/Shogun_(toolbox)
Difference-map algorithm,"The difference-map algorithm is a search algorithm for general constraint satisfaction problems. It is a meta-algorithm in the sense that it is built from more basic algorithms that perform projections onto constraint sets. From a mathematical perspective, the difference-map algorithm is a dynamical system based on a mapping of Euclidean space. Solutions are encoded as fixed points of the mapping.",https://en.wikipedia.org/wiki/Difference-map_algorithm
Cloud robotics,"Cloud robotics is a field of robotics that attempts to invoke cloud technologies such as cloud computing, cloud storage, and other Internet technologies centred on the benefits of converged infrastructure and shared services for robotics. When connected to the cloud, robots can benefit from the powerful computation, storage, and communication resources of modern data center in the cloud, which can process and share information from various robots or agent (other machines, smart objects, humans, etc.). Humans can also delegate tasks to robots remotely through networks. Cloud computing technologies enable robot systems to be endowed with powerful capability whilst reducing costs through cloud technologies. Thus, it is possible to build lightweight, low cost, smarter robots have intelligent ""brain"" in the cloud. The ""brain"" consists of data center, knowledge base, task planners, deep learning, information processing, environment models, communication support, etc.",https://en.wikipedia.org/wiki/RoboEarth
Pollard's p − 1 algorithm,"Pollard's p − 1 algorithm is a number theoretic integer factorization algorithm, invented by John Pollard in 1974. It is a special-purpose algorithm, meaning that it is only suitable for integers with specific types of factors; it is the simplest example of an algebraic-group factorisation algorithm.",https://en.wikipedia.org/wiki/Pollard%27s_p_%E2%88%92_1_algorithm
Bron–Kerbosch algorithm,"In computer science, the Bron–Kerbosch algorithm is an enumeration algorithm for finding maximal cliques in an undirected graph. That is, it lists all subsets of vertices with the two properties that each pair of vertices in one of the listed subsets is connected by an edge, and no listed subset can have any additional vertices added to it while preserving its complete connectivity. The Bron–Kerbosch algorithm was designed by Dutch scientists Coenraad Bron and Joep Kerbosch, who published its description in 1973. Although other algorithms for solving the clique problem have running times that are, in theory, better on inputs that have few maximal independent sets, the Bron–Kerbosch algorithm and subsequent improvements to it are frequently reported as being more efficient in practice than the alternatives. It is well-known and widely used in application areas of graph algorithms such as computational chemistry.",https://en.wikipedia.org/wiki/Bron%E2%80%93Kerbosch_algorithm
Force-directed graph drawing,"Force-directed graph drawing algorithms are a class of algorithms for drawing graphs in an aesthetically-pleasing way. Their purpose is to position the nodes of a graph in two-dimensional or three-dimensional space so that all the edges are of more or less equal length and there are as few crossing edges as possible, by assigning forces among the set of edges and the set of nodes, based on their relative positions, and then using these forces either to simulate the motion of the edges and nodes or to minimize their energy.",https://en.wikipedia.org/wiki/Force-based_algorithms_(graph_drawing)
Inductive programming,"Inductive programming (IP) is a special area of automatic programming, covering research from artificial intelligence and programming, which addresses learning of typically declarative (logic or functional) and often recursive programs from incomplete specifications, such as input/output examples or constraints.",https://en.wikipedia.org/wiki/Inductive_programming
Markovian discrimination,"Markovian discrimination in spam filtering is a method used in CRM114 and other spam filters to model the statistical behaviors of spam and nonspam more accurately than in simple Bayesian methods.  A simple Bayesian model of written text contains only the dictionary of legal words and their relative probabilities.  A Markovian model adds the relative transition probabilities that given one word, predict what the next word will be. It is based on the theory of Markov chains by Andrey Markov, hence the name.  In essence, a Bayesian filter works on single words alone, while a Markovian filter works on phrases or entire sentences.",https://en.wikipedia.org/wiki/Markovian_discrimination
